Date,True_Net_PnL_After_Fees,net pnl
2025-12-31 00:00:00,1.9164914,0.9582457
2026-01-01 00:00:00,1.9137656,0.9568828
2026-01-02 00:00:00,-2.2525082,-1.1262541
2026-01-03 00:00:00,1.9164501,0.95822505
2026-01-04 00:00:00,-2.2455285,-1.12276425
2026-01-05 00:00:00,-2.2462719,-1.12313595
2026-01-06 00:00:00,1.9183499,0.95917495
2026-01-07 00:00:00,-2.2475935,-1.12379675
2026-01-08 00:00:00,1.9157893,0.95789465
2026-01-09 00:00:00,1.9165327,0.95826635
2026-01-10 00:00:00,1.9147981,0.95739905
2026-01-11 00:00:00,1.9171935,0.95859675
2026-01-12 00:00:00,-2.2497411,-1.12487055
2026-01-13 00:00:00,1.9147568,0.9573784
2026-01-14 00:00:00,-2.2467675,-1.12338375
2026-01-15 00:00:00,1.914922,0.957461
2026-01-16 00:00:00,1.9147981,0.95739905
2026-01-17 00:00:00,-2.2471805,-1.12359025
2026-01-18 00:00:00,-2.253995,-1.1269975
2026-01-19 00:00:00,-2.2495759,-1.12478795
2026-01-20 00:00:00,-2.2487912,-1.1243956
2026-01-21 00:00:00,1.9162023,0.95810115
2026-01-22 00:00:00,-2.2466436,-1.1233218
2026-01-23 00:00:00,1.9164088,0.9582044
2026-01-24 00:00:00,-2.250278,-1.125139
2026-01-25 00:00:00,-2.2468088,-1.1234044
2026-01-26 00:00:00,1.9172761,0.95863805
2026-01-27 00:00:00,1.9154589,0.95772945
2026-01-28 00:00:00,-2.2534994,-1.1267497
2026-01-29 00:00:00,1.9155002,0.9577501
2026-01-30 00:00:00,1.915748,0.957874
2026-01-31 00:00:00,1.9153763,0.95768815
